x: 5.000000, y: 4.666667
x: 5.018335, y: 4.666844
x: 5.036679, y: 4.667371
x: 5.055040, y: 4.668243
x: 5.073427, y: 4.669456
x: 5.091847, y: 4.671005
x: 5.110308, y: 4.672885
x: 5.128815, y: 4.675091
x: 5.147375, y: 4.677620
x: 5.165994, y: 4.680466
x: 5.184677, y: 4.683625
x: 5.203429, y: 4.687093
x: 5.222255, y: 4.690864
x: 5.241157, y: 4.694936
x: 5.260141, y: 4.699302
x: 5.279210, y: 4.703958
x: 5.298366, y: 4.708900
x: 5.317612, y: 4.714122
x: 5.336950, y: 4.719618
x: 5.356382, y: 4.725385
x: 5.375909, y: 4.731416
x: 5.395532, y: 4.737706
x: 5.415253, y: 4.744249
x: 5.435071, y: 4.751038
x: 5.454987, y: 4.758069
x: 5.475000, y: 4.765333
x: 5.495109, y: 4.772826
x: 5.515315, y: 4.780539
x: 5.535614, y: 4.788466
x: 5.556006, y: 4.796599
x: 5.576489, y: 4.804932
x: 5.597060, y: 4.813455
x: 5.617718, y: 4.822162
x: 5.638458, y: 4.831044
x: 5.659280, y: 4.840093
x: 5.680178, y: 4.849300
x: 5.701149, y: 4.858657
x: 5.722190, y: 4.868153
x: 5.743297, y: 4.877781
x: 5.764465, y: 4.887531
x: 5.785691, y: 4.897393
x: 5.806968, y: 4.907358
x: 5.828294, y: 4.917416
x: 5.849662, y: 4.927556
x: 5.871068, y: 4.937769
x: 5.892506, y: 4.948045
x: 5.913972, y: 4.958373
x: 5.935460, y: 4.968743
x: 5.956964, y: 4.979144
x: 5.978479, y: 4.989567
x: 6.000000, y: 5.000000
x: 6.021521, y: 5.010433
x: 6.043036, y: 5.020856
x: 6.064540, y: 5.031257
x: 6.086028, y: 5.041627
x: 6.107494, y: 5.051955
x: 6.128932, y: 5.062231
x: 6.150338, y: 5.072444
x: 6.171706, y: 5.082584
x: 6.193032, y: 5.092642
x: 6.214309, y: 5.102607
x: 6.235535, y: 5.112469
x: 6.256703, y: 5.122219
x: 6.277810, y: 5.131847
x: 6.298851, y: 5.141343
x: 6.319822, y: 5.150700
x: 6.340720, y: 5.159907
x: 6.361542, y: 5.168956
x: 6.382282, y: 5.177838
x: 6.402940, y: 5.186545
x: 6.423511, y: 5.195068
x: 6.443994, y: 5.203401
x: 6.464386, y: 5.211534
x: 6.484685, y: 5.219461
x: 6.504891, y: 5.227174
x: 6.525000, y: 5.234667
x: 6.545013, y: 5.241931
x: 6.564929, y: 5.248962
x: 6.584747, y: 5.255751
x: 6.604468, y: 5.262294
x: 6.624091, y: 5.268584
x: 6.643618, y: 5.274615
x: 6.663050, y: 5.280382
x: 6.682388, y: 5.285878
x: 6.701634, y: 5.291100
x: 6.720790, y: 5.296042
x: 6.739859, y: 5.300698
x: 6.758843, y: 5.305064
x: 6.777745, y: 5.309136
x: 6.796571, y: 5.312907
x: 6.815323, y: 5.316375
x: 6.834006, y: 5.319534
x: 6.852625, y: 5.322380
x: 6.871185, y: 5.324909
x: 6.889692, y: 5.327115
x: 6.908153, y: 5.328995
x: 6.926573, y: 5.330544
x: 6.944960, y: 5.331757
x: 6.963321, y: 5.332629
x: 6.981665, y: 5.333156
x: 7.000000, y: 5.333333
x: 7.018335, y: 5.333156
x: 7.036676, y: 5.332627
x: 7.055031, y: 5.331748
x: 7.073406, y: 5.330522
x: 7.091805, y: 5.328953
x: 7.110235, y: 5.327042
x: 7.128699, y: 5.324792
x: 7.147201, y: 5.322206
x: 7.165745, y: 5.319285
x: 7.184335, y: 5.316032
x: 7.202972, y: 5.312450
x: 7.221659, y: 5.308540
x: 7.240398, y: 5.304305
x: 7.259190, y: 5.299747
x: 7.278036, y: 5.294868
x: 7.296938, y: 5.289672
x: 7.315894, y: 5.284160
x: 7.334904, y: 5.278336
x: 7.353969, y: 5.272202
x: 7.373087, y: 5.265762
x: 7.392257, y: 5.259019
x: 7.411477, y: 5.251976
x: 7.430746, y: 5.244636
x: 7.450060, y: 5.237004
x: 7.469417, y: 5.229083
x: 7.488814, y: 5.220878
x: 7.508247, y: 5.212394
x: 7.527714, y: 5.203634
x: 7.547209, y: 5.194604
x: 7.566729, y: 5.185309
x: 7.586270, y: 5.175754
x: 7.605825, y: 5.165945
x: 7.625391, y: 5.155889
x: 7.644963, y: 5.145590
x: 7.664533, y: 5.135055
x: 7.684098, y: 5.124292
x: 7.703650, y: 5.113307
x: 7.723185, y: 5.102106
x: 7.742695, y: 5.090698
x: 7.762174, y: 5.079090
x: 7.781616, y: 5.067290
x: 7.801014, y: 5.055305
x: 7.820362, y: 5.043144
x: 7.839652, y: 5.030815
x: 7.858878, y: 5.018327
x: 7.878033, y: 5.005688
x: 7.897110, y: 4.992908
x: 7.916102, y: 4.979994
x: 7.935003, y: 4.966957
x: 7.953804, y: 4.953804
x: 7.972500, y: 4.940547
x: 7.991084, y: 4.927193
x: 8.009549, y: 4.913752
x: 8.027889, y: 4.900234
x: 8.046097, y: 4.886648
x: 8.064166, y: 4.873003
x: 8.082091, y: 4.859309
x: 8.099866, y: 4.845575
x: 8.117485, y: 4.831811
x: 8.134942, y: 4.818026
x: 8.152231, y: 4.804228
x: 8.169349, y: 4.790427
x: 8.186288, y: 4.776632
x: 8.203046, y: 4.762852
x: 8.219617, y: 4.749095
x: 8.235997, y: 4.735369
x: 8.252182, y: 4.721684
x: 8.268168, y: 4.708048
x: 8.283952, y: 4.694467
x: 8.299530, y: 4.680951
x: 8.314901, y: 4.667506
x: 8.330060, y: 4.654140
x: 8.345006, y: 4.640859
x: 8.359737, y: 4.627672
x: 8.374250, y: 4.614583
x: 8.388545, y: 4.601600
x: 8.402619, y: 4.588729
x: 8.416473, y: 4.575975
x: 8.430106, y: 4.563344
x: 8.443516, y: 4.550841
x: 8.456704, y: 4.538471
x: 8.469670, y: 4.526239
x: 8.482415, y: 4.514148
x: 8.494939, y: 4.502204
x: 8.507242, y: 4.490411
x: 8.519327, y: 4.478770
x: 8.531194, y: 4.467287
x: 8.542845, y: 4.455964
x: 8.554282, y: 4.444803
x: 8.565506, y: 4.433808
x: 8.576521, y: 4.422981
x: 8.587328, y: 4.412323
x: 8.597930, y: 4.401837
x: 8.608330, y: 4.391523
x: 8.618531, y: 4.381384
x: 8.628537, y: 4.371420
x: 8.638349, y: 4.361633
x: 8.647973, y: 4.352022
x: 8.657410, y: 4.342589
x: 8.666667, y: 4.333333
x: 8.675744, y: 4.324256
x: 8.684642, y: 4.315358
x: 8.693358, y: 4.306642
x: 8.701892, y: 4.298108
x: 8.710245, y: 4.289755
x: 8.718417, y: 4.281583
x: 8.726409, y: 4.273591
x: 8.734224, y: 4.265776
x: 8.741863, y: 4.258137
x: 8.749328, y: 4.250672
x: 8.756623, y: 4.243377
x: 8.763751, y: 4.236249
x: 8.770714, y: 4.229286
x: 8.777517, y: 4.222483
x: 8.784162, y: 4.215838
x: 8.790653, y: 4.209347
x: 8.796994, y: 4.203006
x: 8.803188, y: 4.196812
x: 8.809240, y: 4.190760
x: 8.815152, y: 4.184848
x: 8.820929, y: 4.179071
